pop,ger,mut,sel,k,cx,mt,elitismo,media_makespan,desvio_padrao
100,100,0.2,roleta,3,cx,deslocamento,0,1056.6,11.529671865813587
100,100,0.2,roleta,3,cx,deslocamento,1,1046.2,11.717034133640173
100,100,0.2,roleta,3,erx,swap,0,1058.5,15.834210502018161
100,100,0.2,roleta,3,erx,swap,1,1050.6,12.465062285354925
100,100,0.2,roleta,3,erx,deslocamento,0,1051.3,9.274217547109357
100,100,0.2,roleta,3,erx,deslocamento,1,1045.8,10.726913193769523
100,100,0.2,roleta,5,cx,swap,0,1052,18.850287354131588
100,100,0.2,roleta,5,cx,swap,1,1040.4,12.194716524426106
100,100,0.2,roleta,5,cx,deslocamento,0,1056.6,11.529671865813587
100,100,0.2,roleta,5,cx,deslocamento,1,1046.2,11.717034133640173
100,100,0.2,roleta,5,erx,swap,0,1058.5,15.834210502018161
100,100,0.2,roleta,5,erx,swap,1,1050.6,12.465062285354925
100,100,0.2,roleta,5,erx,deslocamento,0,1051.3,9.274217547109357
100,100,0.2,roleta,5,erx,deslocamento,1,1045.8,10.726913193769523
